CODIGO;PRACTICA;Precio1;Precio2;Precio3;Precio4
101600;GINGIVECTOMIA;18000;9000;6000;6000
60100;Consulta de Ortodoncia;7000;7000;7000;7000
60200;Trat.de dentic.temp.prim. y mixta 12-18 meses;162900;162900;162900;162900
60201;Aparato de Ortopedia intermedia y final;61000;61000;61000;61000
60203;Aparato de Ortopedia Hyrax con ganchos y bandas;105000;105000;105000;105000
60202;Cuota tratamiento dentición temprana ;27000;27000;27000;27000
60300;Ortodoncia fija-14meses (Entrega30%);162900;162900;162900;162900
60301;Ortodoncia fija – 24 meses (Entrega30%);245100;245100;245100;245100
60302;Cuota ortodoncia 14 meses;27000;27000;27000;27000
60303;Cuota ortodoncia 24 meses;24000;24000;24000;24000
60304;Alineadores Invisibles;285000;285000;285000;285000
60305; Alineador subsiguiente en consultorio;105000;105000;105000;105000
60306;Cuota alineador 6 cuotas;111000;111000;111000;111000
60400;Aparato de contención realizado en consultorio;63000;63000;63000;63000
60401;Aparato de contención por laboratorio;63000;63000;63000;63000
60402;Rotura de aparato removible;32000;32000;32000;32000
60500;Reposición de banda , tubo;12000;12000;12000;12000
60501;Reposición de Brakets;12000;12000;12000;12000
60502;Cementado de banda, tubo, brakets;32000;32000;32000;32000
60503;Eliminación de bandas, tubos, brakets etc..;12000;12000;12000;12000
60600;Placa de protección resiliente p/pac.c/quimio;63000;63000;63000;63000
60601;Placa para pacientes fisurados;63000;63000;63000;63000
60602;Primera atención para Fisurados;12000;12000;12000;12000
60603;Desgaste interdental- Stripping;9000;9000;9000;9000
40102;TOMA DE IMPRESIÓN;34000;34000;34000;34000
40104;TALLADO Y CEMENTADO;34000;34000;34000;34000
40106;PRUEBA DE MORDIDA Y ENCERADO;34000;34000;34000;34000
